cell_type	f1	count_rep1	count_rep2	depth	method	seed1	seed2	comparison
L2/3-6 intratelencephalic projecting glutamatergic neuron	1.0	151	151	100000	scvi	42	123	rep1_vs_rep2
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989010989010989	45	46	100000	scvi	42	123	rep1_vs_rep2
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9675090252707581	140	137	100000	scvi	42	123	rep1_vs_rep2
L6b glutamatergic cortical neuron	0.9754601226993865	162	164	100000	scvi	42	123	rep1_vs_rep2
astrocyte	0.9966996699669967	151	152	100000	scvi	42	123	rep1_vs_rep2
caudal ganglionic eminence derived GABAergic cortical interneuron	1.0	100	100	100000	scvi	42	123	rep1_vs_rep2
endothelial cell	1.0	20	20	100000	scvi	42	123	rep1_vs_rep2
lamp5 GABAergic cortical interneuron	0.9931972789115646	146	148	100000	scvi	42	123	rep1_vs_rep2
microglial cell	0.9933774834437086	152	150	100000	scvi	42	123	rep1_vs_rep2
near-projecting glutamatergic cortical neuron	1.0	149	149	100000	scvi	42	123	rep1_vs_rep2
oligodendrocyte	1.0	150	150	100000	scvi	42	123	rep1_vs_rep2
oligodendrocyte precursor cell	1.0	150	150	100000	scvi	42	123	rep1_vs_rep2
pericyte	1.0	9	9	100000	scvi	42	123	rep1_vs_rep2
pvalb GABAergic cortical interneuron	1.0	156	156	100000	scvi	42	123	rep1_vs_rep2
sst GABAergic cortical interneuron	1.0	145	145	100000	scvi	42	123	rep1_vs_rep2
vascular leptomeningeal cell	0.8	2	3	100000	scvi	42	123	rep1_vs_rep2
vip GABAergic cortical interneuron	0.9933333333333333	151	149	100000	scvi	42	123	rep1_vs_rep2
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9966777408637874	151	150	100000	scvi	42	123	rep1_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.9782608695652174	45	47	100000	scvi	42	123	rep1_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9310344827586207	140	150	100000	scvi	42	123	rep1_vs_original
L6b glutamatergic cortical neuron	0.9423076923076923	162	150	100000	scvi	42	123	rep1_vs_original
astrocyte	0.9900332225913622	151	150	100000	scvi	42	123	rep1_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9797979797979798	100	98	100000	scvi	42	123	rep1_vs_original
endothelial cell	0.975609756097561	20	21	100000	scvi	42	123	rep1_vs_original
lamp5 GABAergic cortical interneuron	0.9864864864864865	146	150	100000	scvi	42	123	rep1_vs_original
microglial cell	0.9933774834437086	152	150	100000	scvi	42	123	rep1_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	100000	scvi	42	123	rep1_vs_original
oligodendrocyte	0.9933333333333333	150	150	100000	scvi	42	123	rep1_vs_original
oligodendrocyte precursor cell	1.0	150	150	100000	scvi	42	123	rep1_vs_original
pericyte	0.9473684210526315	9	10	100000	scvi	42	123	rep1_vs_original
pvalb GABAergic cortical interneuron	0.9738562091503268	156	150	100000	scvi	42	123	rep1_vs_original
sst GABAergic cortical interneuron	0.9694915254237289	145	150	100000	scvi	42	123	rep1_vs_original
vascular leptomeningeal cell	0.8	2	3	100000	scvi	42	123	rep1_vs_original
vip GABAergic cortical interneuron	0.9767441860465116	151	150	100000	scvi	42	123	rep1_vs_original
L2/3-6 intratelencephalic projecting glutamatergic neuron	0.9966777408637874	151	150	100000	scvi	42	123	rep2_vs_original
L5 extratelencephalic projecting glutamatergic cortical neuron	0.989247311827957	46	47	100000	scvi	42	123	rep2_vs_original
L6 corticothalamic-projecting glutamatergic cortical neuron	0.9198606271777003	137	150	100000	scvi	42	123	rep2_vs_original
L6b glutamatergic cortical neuron	0.9299363057324841	164	150	100000	scvi	42	123	rep2_vs_original
astrocyte	0.9867549668874173	152	150	100000	scvi	42	123	rep2_vs_original
caudal ganglionic eminence derived GABAergic cortical interneuron	0.9797979797979798	100	98	100000	scvi	42	123	rep2_vs_original
endothelial cell	0.975609756097561	20	21	100000	scvi	42	123	rep2_vs_original
lamp5 GABAergic cortical interneuron	0.9932885906040269	148	150	100000	scvi	42	123	rep2_vs_original
microglial cell	1.0	150	150	100000	scvi	42	123	rep2_vs_original
near-projecting glutamatergic cortical neuron	0.9966555183946488	149	150	100000	scvi	42	123	rep2_vs_original
oligodendrocyte	0.9933333333333333	150	150	100000	scvi	42	123	rep2_vs_original
oligodendrocyte precursor cell	1.0	150	150	100000	scvi	42	123	rep2_vs_original
pericyte	0.9473684210526315	9	10	100000	scvi	42	123	rep2_vs_original
pvalb GABAergic cortical interneuron	0.9738562091503268	156	150	100000	scvi	42	123	rep2_vs_original
sst GABAergic cortical interneuron	0.9694915254237289	145	150	100000	scvi	42	123	rep2_vs_original
vascular leptomeningeal cell	1.0	3	3	100000	scvi	42	123	rep2_vs_original
vip GABAergic cortical interneuron	0.9832775919732442	149	150	100000	scvi	42	123	rep2_vs_original
